option,status,optimized,test_or_note
K,validated_legacy,false,small complete irregular and mixed tests
hor,validated_legacy,false,exercised by all Phase-1 tests
fhor,validated_legacy,false,exercised by all Phase-1 tests
noprint,validated_legacy,false,exercised by all Phase-1 tests
mf_varindex,validated_legacy,false,small mixed-frequency flow test
mixed_freq_index,validated_legacy,false,small irregular stock test uses default zero index
ElasticNet,not_yet_validated,false,upstream path retained
K_shrinkage,not_yet_validated,false,upstream path retained
Lasso,not_yet_validated,false,upstream path retained
Ridge,not_yet_validated,false,upstream path retained
bvar_prior_decay,not_yet_validated,false,upstream path retained
bvar_prior_lambda,not_yet_validated,false,upstream path retained
bvar_prior_mu,not_yet_validated,false,upstream path retained
bvar_prior_omega,not_yet_validated,false,upstream path retained
bvar_prior_tau,not_yet_validated,false,upstream path retained
connectedness,not_yet_validated,false,upstream path retained
controls,not_yet_validated,false,upstream path retained
endo_index,not_yet_validated,false,upstream path retained
endo_path,not_yet_validated,false,upstream path retained
exo_index,not_yet_validated,false,upstream path retained
exogenous,not_yet_validated,false,upstream path retained
exogenous_block,not_yet_validated,false,upstream path retained
firstobs,not_yet_validated,false,upstream path retained
heterosked_regimes,not_yet_validated,false,upstream path retained
heterosked_weights,not_yet_validated,false,upstream path retained
hmoments,not_yet_validated,false,upstream path retained
hmoments_eig,not_yet_validated,false,upstream path retained
irf_1STD,not_yet_validated,false,upstream path retained
long_run_irf,not_yet_validated,false,upstream path retained
max_minn_hyper,not_yet_validated,false,upstream path retained
minn_prior_decay,not_yet_validated,false,upstream path retained
minn_prior_lambda,not_yet_validated,false,upstream path retained
minn_prior_mu,not_yet_validated,false,upstream path retained
minn_prior_omega,not_yet_validated,false,upstream path retained
minn_prior_tau,not_yet_validated,false,upstream path retained
narrative,not_yet_validated,false,upstream path retained
nethor,not_yet_validated,false,upstream path retained
noconstant,not_yet_validated,false,upstream path retained
non_explosive_,not_yet_validated,false,upstream path retained
pandemic,not_yet_validated,false,upstream path retained
presample,not_yet_validated,false,upstream path retained
prior,not_yet_validated,false,upstream path retained
priors,not_yet_validated,false,upstream path retained
proxy,not_yet_validated,false,upstream path retained
proxy_end,not_yet_validated,false,upstream path retained
robust_bayes,not_yet_validated,false,upstream path retained
robust_credible_regions,not_yet_validated,false,upstream path retained
set_irf,not_yet_validated,false,upstream path retained
signs,not_yet_validated,false,upstream path retained
timetrend,not_yet_validated,false,upstream path retained
var_pos,not_yet_validated,false,upstream path retained
vnames,not_yet_validated,false,upstream path retained
zeros_signs,not_yet_validated,false,upstream path retained
